Depth_meter,Area_meterSquared
0,1000000.0
1,908712.91
2,817425.81
3,726138.72
4,634851.63
5,543564.54
6,452277.44
7,360990.35
8,269703.26
9,178416.16
10,87129.07
11,0.0
