Depth_meter,Area_meterSquared
0,10000000.0
1,9500000.0
2,9000000.0
3,8500000.0
4,8000000.0
5,7500000.0
6,7000000.0
7,6500000.0
8,6000000.0
9,5500000.0
10,5000000.0
11,4500000.0
12,4000000.0
13,3500000.0
14,3000000.0
15,2500000.0
16,2000000.0
17,1500000.0
18,1000000.0
19,500000.0
20,0.0
21,0.0
