datetime,Air_Temperature_celsius,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Longwave_Radiation_Downwelling_wattPerMeterSquared,Relative_Humidity_percent,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Precipitation_millimeterPerDay,Surface_Level_Barometric_Pressure_pascal
2016-01-19 18:00,9.2700974979785,0.0,246.79846906068067,68.19245195150589,4.303671764103654,0.02529241831053922,102603.52401870844
2016-01-19 19:00,8.492371655778635,0.0,246.79783189161253,71.23779282229317,4.093688498733121,0.0,102586.51482539372
2016-01-19 20:00,7.714803229765997,0.0,246.79741455837998,74.42961902285585,3.8910346678562386,0.0,102569.50953758256
2016-01-19 21:00,6.937325146450607,0.0,247.5334217951032,77.775805448187,3.6972420166265687,0.0,102552.51795614924
2016-01-19 22:00,6.405320446070736,0.0,247.5330806103515,79.62063714438492,3.5888058950153843,0.0,102551.37123530424
2016-01-19 23:00,5.872879273535371,0.0,247.53275984432918,81.51003580555896,3.495273713432137,0.0,102550.24007120394
2016-01-20 00:00,5.3413745702468525,0.0,250.24762206153522,83.43656527803971,3.415758758214575,0.0,102549.11290196107
2016-01-20 01:00,5.094078742997451,0.0,250.24746621601946,84.54976399426167,3.2629192941923,0.0,102518.92016812011
2016-01-20 02:00,4.847679129266296,0.0,250.24734754306235,85.67395777516916,3.1456941936322607,0.0,102488.68707046492
2016-01-20 03:00,4.600476146153915,0.0,249.6006834166179,86.81834731235031,3.069597349632637,0.0,102458.51084100745
2016-01-20 04:00,4.476799611404262,0.0,249.60064641857835,87.41519305714465,3.077620894817334,0.0,102440.1615515908
2016-01-20 05:00,4.352856004328096,0.0,249.60065392289764,88.01407193418412,3.133187225331078,0.0,102421.83249335364
2016-01-20 06:00,4.229109487437563,0.0,255.8865176467848,88.61276616192562,3.2316205724351272,0.10050412737564066,102403.49141156828
2016-01-20 07:00,6.728879296804579,126.00981983816271,255.88854369666254,82.5783090306885,3.45521182896175,0.02711439724027203,102461.20842636176
2016-01-20 08:00,9.228976852956091,305.21683838953817,255.89037986980873,76.42148318628121,3.710458796022596,0.008337961966480708,102518.90356437725
2016-01-20 09:00,11.729330777598747,482.4663326914914,283.1588139685052,70.38050346091408,3.980382611973876,8.402045363319587E-4,102576.60302860354
2016-01-20 10:00,13.412206851618118,611.6033139074239,283.1599898778949,64.98332073548154,3.770146548568856,0.0,102522.85095828414
2016-01-20 11:00,15.095776348014297,682.6149505005784,283.16118416995806,60.05132200908159,3.658002647927074,0.0,102469.05510439145
2016-01-20 12:00,16.779008440904995,709.5107474418421,298.0595377571979,55.546641014124944,3.6421676894583688,0.0,102415.30870210184
2016-01-20 13:00,17.258211935939887,644.0499375570827,298.0599450846714,53.45938399122968,3.078507596770335,9.929436128934679E-5,102308.07167043826
2016-01-20 14:00,17.73745853718129,528.7633290091387,298.06027893962283,51.45024471725944,2.548714654350734,0.0,102200.83568123514
2016-01-20 15:00,18.216471573754678,373.28905786470085,294.7830163873396,49.51699708133481,2.0731449503736235,0.0,102093.62118161043
2016-01-20 16:00,17.289023682235715,181.39222263977555,294.7822893409583,53.06944467720938,1.842500000888479,0.0,102110.78065665689
2016-01-20 17:00,16.361780443394757,0.0,294.7818220371031,56.91635536727986,1.727778883325972,0.0,102127.94810082566
2016-01-20 18:00,15.434653957801316,0.0,277.2866506884778,61.08523500496484,1.674734753905355,0.0,102145.12366873964
2016-01-20 19:00,14.263443028254677,0.0,277.28588559694253,66.42554464658706,1.7675254123384643,0.0,102130.80750908967
2016-01-20 20:00,13.09224210446714,0.0,277.2852234716495,72.30607474272851,1.8912189013839056,0.0,102116.51188218806
